id,name,modelId,fishType,fishType2,scene,money,maxMoney,bfMoney,bfMaxMoney,hsMoney,hsMaxMoney,minSafe,maxSafe,attack,health,health1,health2,maxhealth,delayTime,durationDeathRefreshFlag,exp,skill,fallingMaterials,minSkillDropNum,maxSkillDropNum,skillDropProbability,skillDropProbabilityOne,skillDropProbabilityTwo,skillDropProbabilityMax,skillDropProbabilityJc,2,3,4,5,6,7,8,9
121,金龙,21,4,3,11,300,,300,,300,,,,1,90,90,300,,0,0,90,,"1,12,13,14","0,0,0,0","1,2,2,1",4,3,1,1,,,,,,,,,
125,鸿福转盘,81,4,3,11,120,160,160,180,120,150,,,1,120,120,180,,0,0,180,,,,,,,,,,,,,,,,,
126,财神驾到,82,4,3,11,130,160,160,180,130,160,,,1,130,130,180,,0,0,180,,,,,,,,,,,,,,,,,
127,哪吒,83,4,3,11,140,180,180,220,140,180,,,1,140,140,220,,0,0,220,,,,,,,,,,,,,,,,,
128,沉船宝藏,84,3,3,11,300,2500,2500,4000,300,1500,,,1,45,45,1000,,0,0,45,,"4,11,12,13","0,0,0,0","1,2,2,1",4,3,1,1,,,,,,,,,
129,吉星高照,85,3,3,11,300,2500,2500,4000,300,1500,,,1,45,45,1000,,0,0,45,,"9,11,12,13,42","0,0,0,0,0","1,2,2,1,2",4,3,1,1,5,,,,,,,,
130,美人鱼,86,3,3,11,300,2500,2500,4000,300,1500,,,1,45,45,1000,,0,0,45,6,"11,12,13,42","0,0,0,0","2,2,1,2",4,3,1,1,5,,,,,,,,
131,大圣,87,3,3,11,300,2500,2500,4000,300,1500,,,1,45,45,1000,,0,0,45,8,"11,12,13,42","0,0,0,0","2,2,1,2",4,3,1,1,5,,,,,,,,
132,李逵,88,5,3,11,300,2500,2500,4000,300,1500,,,1,45,45,1000,,10,1,45,7,"11,12,13,14,42","0,0,0,0,0","2,2,2,1,2",4,3,1,1,,,,,,,,,
133,全屏炸弹,89,50,4,11,300,2500,2500,5000,300,1500,,,1,300,300,5000,60,10,1,300,,"11,12,13,42","0,0,0,0","2,2,1,2",4,3,1,1,,,,,,,,,
134,奖券,90,50,4,11,1,20,10,20,1,10,,,1,70,70,600,90,10,1,70,,"11,12,13,42","0,0,0,0","2,2,1,2",4,3,1,1,,,,,,,,,
122,三条蝴蝶鱼,22,4,2,11,45,,45,,45,,,,1,15,2,185,,0,0,45,,,,,,,,,,,,,,,,,
123,银鲨金鲨,23,4,4,11,100,,100,,100,,,,1,19,2,206,,0,0,45,,,,,,,,,,,,,,,,,
124,银鲨铃铛鱼,24,4,3,11,76,,76,,76,,,,1,23,3,227,,0,0,45,,,,,,,,,,,,,,,,,
135,四条灯笼鱼,25,4,2,11,36,,36,,36,,,,1,27,4,248,,0,0,45,4,3,1,1,,,,,,,,,,,,,
136,魔鬼小丑鱼,26,4,2,11,43,,43,,43,,,,1,31,5,269,,0,0,45,4,3,1,1,,,,,,,,,,,,,
137,四小丑鱼,27,4,2,11,24,,24,,24,,,,1,35,6,290,,0,0,45,,,,,,,,,,,,,,,,,
138,三蓝倒吊,28,4,2,11,24,,24,,24,,,,1,39,7,311,,0,0,45,,,,,,,,,,,,,,,,,
139,海龟四大眼金鱼,29,4,2,11,26,,26,,26,,,,1,43,8,332,,0,0,45,,,,,,,,,,,,,,,,,
140,奖券,90,50,4,12,1,50,20,50,1,20,,,1,70,70,600,90,10,1,70,,"11,12,13,42","0,0,0,0","2,2,1,2",4,3,1,1,,,,,,,,,
141,奖券,90,50,4,13,1,100,40,100,1,30,,,1,70,70,600,90,10,1,70,,"11,12,13,42","0,0,0,0","2,2,1,2",4,3,1,1,,,,,,,,,
142,大四喜,1008,4,3,11,1500,3500,3500,5000,360,2000,,,1,360,360,2000,70,0,0,360,,42,0,2,,,,,5,,,,,,,,
143,一网打尽,1009,4,3,12,180,180,180,1100,180,180,,,1,180,180,1100,800,0,0,180,,43,0,3,,,,,5,,,,,,,,
144,黄金鲎鱼,1010,4,3,12,200,200,200,2000,200,200,,,1,200,200,2000,1000,100,0,200,,43,0,3,,,,,5,,,,,,,,
145,黄金锤头鲨,1011,4,3,12,310,310,310,1600,310,310,,,1,310,310,1600,1200,10,0,310,,43,0,3,,,,,5,,,,,,,,
146,黄金鲸鱼,1012,4,3,12,3000,7500,7500,9999,360,4000,,,1,360,360,2000,70,10,1,360,,43,0,3,,,,,5,,,,,,,,
147,黄金海龟,1013,4,3,13,3000,7000,7000,9000,300,3000,,,1,300,300,5000,100,100,0,300,,"13,14,15,16,17,44","0,0,0,0,0,0","2,2,2,2,1,1",4,3,1,1,5,,,,,,,,
148,黄金水母,1014,4,3,13,3000,9500,9500,12000,200,4000,,,1,200,200,2000,1000,100,0,200,,44,0,1,,,,,5,,,,,,,,
149,小玛丽,1015,50,3,13,310,4000,4000,6000,310,4000,,,1,310,310,1600,1200,100,0,310,,44,0,1,,,,,5,,,,,,,,
150,斧头,1016,50,3,13,2500,4000,4000,6500,360,3000,,,1,360,360,2000,70,10,1,360,,44,0,1,,,,,5,,,,,,,,
151,刀,1017,50,3,14,90,90,90,1000,90,90,,,1,90,90,1000,100,100,0,90,,,,,,,,,,,,,,,,,
152,长矛,1018,50,3,14,270,270,270,700,270,270,,,1,270,270,700,110,100,0,270,,,,,,,,,,,,,,,,,
153,狂暴鱼,1019,50,3,14,180,180,180,1100,180,180,,,1,180,180,1100,120,100,0,180,,,,,,,,,,,,,,,,,
